,daft_id,date_entered,views,type,rent,num_bedroom,num_bathroom,available_from,furnished,lease,ber_rating,address,distance_from_city_centre,latitude,longitude,region,url,input_date,property_id
778,216881979,2023-07-06,367,Apartment,2200.0,1,1, Immediately, No, No Minimum,C3,"Traders Wharf, Usher Quay, Dublin 8",0.8730390558788526,53.346033,-6.2803256,Dublin 8,https://www.daft.ie/for-rent/apartment-traders-wharf-usher-quay-dublin-8/5329720,2023-07-06,9c2dc5bfe09a2af9c692af35af13eee8fb849b12f655042c787ce03478e4e21d
779,216902706,2023-07-06,559,Apartment,1726.0,2,2," Aug 10th, 2023", Yes, Minimum 1 Year,C3,"Watermint Court, Royal Canal Avenue, Ashtown, Dublin 15",4.729859968279288,53.3758842,-6.316818,Dublin 15,https://www.daft.ie/for-rent/apartment-watermint-court-royal-canal-avenue-ashtown-dublin-15/5331582,2023-07-06,6c7359ce37d766e678cb88fe31ec9978be87616057b73742881d3012f645aeb1
780,216904829,2023-07-06,66,Apartment,3400.0,2,2, Immediately, Yes, Minimum 1 Year,B3,"91A George's Street Lower, Dun Laoghaire, Co. Dublin",10.396956427260845,53.293184,-6.137926,,https://www.daft.ie/for-rent/apartment-91a-georges-street-lower-dun-laoghaire-co-dublin/5331761,2023-07-06,cd6021a0844a15341f82dc258c7ae39f9a23748be33cc7ee14c48f6c951bd1d3
781,216903756,2023-07-06,44,Apartment,2100.0,1,1, Immediately, Yes, Minimum 1 Year,B3,"The Casino, Malahide, Co. Dublin",13.781776581454816,53.45092356773179,-6.158735479439713,,https://www.daft.ie/for-rent/apartment-the-casino-malahide-co-dublin/5331746,2023-07-06,b2fee2cc71a6def4632268c4daa7ca9a77d83d285af8f67fe01a0a97192314e2
782,216903748,2023-07-06,280,House,2400.0,2,1, Immediately, Yes, Minimum 1 Year,C3,"Oxmantown Road, Stoneybatter, Dublin 7",1.556285536459752,53.351556,-6.288267,Dublin 7,https://www.daft.ie/for-rent/house-oxmantown-road-stoneybatter-dublin-7/5331730,2023-07-06,8244aba76aa41c361f725359cb13cf212b852d3db16308cd4a55276876c1b39f
783,216903736,2023-07-06,152,Apartment,3700.0,3,2, Immediately, Yes, Minimum 1 Year,C1,"Merrion Court, Ailesbury Road, Dublin 4",4.515462135097393,53.320171,-6.21422,Dublin 4,https://www.daft.ie/for-rent/apartment-merrion-court-ailesbury-road-dublin-4/5331707,2023-07-06,0e0039c765c173aa66b884b1ee0353b7dae64e9991ce3472c581fb3c1a2a8d3f
784,216903723,2023-07-06,733,Apartment,1450.0,1,1, Immediately, Yes, Minimum 1 Year,BER Exempt,"Cabra Road, Dublin 7",1.9975497374930489,53.361144,-6.281768,Dublin 7,https://www.daft.ie/for-rent/apartment-cabra-road-dublin-7/5331675,2023-07-06,97df134e4d30ead87a08878ca80d621a2b622fb7b2f97800b9d0abd624fc4a50
785,216794622,2023-07-06,2013,House,1630.0,1,1, Immediately, Yes, Minimum 1 Year,BER Exempt,"41 Whitworth Road, Drumcondra, Dublin 9",1.961034135249189,53.362925,-6.263668,Dublin 9,https://www.daft.ie/for-rent/house-41-whitworth-road-drumcondra-dublin-9/5320265,2023-07-06,8ce29d6f7d4e4b34bac52549acffd729f0711adbd079826410cc47becd98e8af
786,216902710,2023-07-06,74,Apartment,2500.0,2,1, Immediately, Yes, Minimum 1 Year,D1,"Apartment 17, Griffith Hall, Drumcondra, Dublin 9",3.7818344136491824,53.373983,-6.236443,Dublin 9,https://www.daft.ie/for-rent/apartment-apartment-17-griffith-hall-drumcondra-dublin-9/5331595,2023-07-06,bd87b8fc50fcc4e7989147aa408117c3c745b4e519cbba8c23b0cd62342c2a23
787,25331624,2023-07-06,76,House,3800.0,3,2," Jul 22nd, 2023", Yes, Minimum 6 Months,B3,"44 Trimleston Gardens, Booterstown, Blackrock, Booterstown, Co. Dublin",5.847282589690271,53.308574,-6.20472,,https://www.daft.ie/for-rent/house-44-trimleston-gardens-booterstown-blackrock-booterstown-co-dublin/5331624,2023-07-06,927f47a7525778b8d68136e72ec2911ade3ed4b6211352043f0ffc9e07cce3a8
